head,relation,tail,template_id,template
jon e. swanson,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,jon e. swanson,27,[X] with [REL] generated from [Y].
francis garnier,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,francis garnier,27,[X] with [REL] generated from [Y].
David G. Ouellet,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,David G. Ouellet,27,[X] with [REL] generated from [Y].
laurens shull,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,laurens shull,27,[X] with [REL] generated from [Y].
"Joseph Williams Vance, Jr.",military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,"Joseph Williams Vance, Jr.",27,[X] with [REL] generated from [Y].
james donnie howe,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,james donnie howe,27,[X] with [REL] generated from [Y].
ponury,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,ponury,27,[X] with [REL] generated from [Y].
petar tonić,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,petar tonić,27,[X] with [REL] generated from [Y].
Gurbachan Salaria,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,Gurbachan Salaria,27,[X] with [REL] generated from [Y].
jack a. davenport,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,jack a. davenport,27,[X] with [REL] generated from [Y].
ulvert m. moore,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,ulvert m. moore,27,[X] with [REL] generated from [Y].
Michael Joseph Blassie,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,Michael Joseph Blassie,27,[X] with [REL] generated from [Y].
frederick w. mausert iii,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,frederick w. mausert iii,27,[X] with [REL] generated from [Y].
Eugene Obregon,military casualty classification,Killed in action,26,[X] undergoes [REL] as [Y].
Killed in action,military casualty classification,Eugene Obregon,27,[X] with [REL] generated from [Y].
1947 klm douglas dc-3 copenhagen accident,destination point,Stockholm–Bromma,12,[X] is [REL] based in [Y].
Stockholm–Bromma,destination point,1947 klm douglas dc-3 copenhagen accident,22,[X] saw the [REL] to [Y].
2002 Paris-Tours,destination point,caesarodunum,12,[X] is [REL] based in [Y].
caesarodunum,destination point,2002 Paris-Tours,22,[X] saw the [REL] to [Y].
tbilisi hijacking incident,destination point,Shosseynaya Airport,12,[X] is [REL] based in [Y].
Shosseynaya Airport,destination point,tbilisi hijacking incident,22,[X] saw the [REL] to [Y].
2013 paris–nice,destination point,Col d'Èze,12,[X] is [REL] based in [Y].
Col d'Èze,destination point,2013 paris–nice,22,[X] saw the [REL] to [Y].
articles for creation/2009 giro d'italia femminile,destination point,grumo nevano,12,[X] is [REL] based in [Y].
grumo nevano,destination point,articles for creation/2009 giro d'italia femminile,22,[X] saw the [REL] to [Y].
Korean Air Lines Flight 902,destination point,kimpo airfield,12,[X] is [REL] based in [Y].
kimpo airfield,destination point,Korean Air Lines Flight 902,22,[X] saw the [REL] to [Y].
2012 paris-tours,destination point,caesarodunum,12,[X] is [REL] based in [Y].
caesarodunum,destination point,2012 paris-tours,22,[X] saw the [REL] to [Y].
Tour De France 2013,destination point,Sport in Paris,12,[X] is [REL] based in [Y].
Sport in Paris,destination point,Tour De France 2013,22,[X] saw the [REL] to [Y].
Flying Tiger Line Flight 282,destination point,J F Kennedy International Airport,12,[X] is [REL] based in [Y].
J F Kennedy International Airport,destination point,Flying Tiger Line Flight 282,22,[X] saw the [REL] to [Y].
pan am clipper panama,destination point,new york city,12,[X] is [REL] based in [Y].
new york city,destination point,pan am clipper panama,22,[X] saw the [REL] to [Y].
2015 Tour of Qinghai Lake,destination point,یٍچُوًا شِ,12,[X] is [REL] based in [Y].
یٍچُوًا شِ,destination point,2015 Tour of Qinghai Lake,22,[X] saw the [REL] to [Y].
2013 tour of norway,destination point,"Honefoss, Norway",12,[X] is [REL] based in [Y].
"Honefoss, Norway",destination point,2013 tour of norway,22,[X] saw the [REL] to [Y].
2017 Presidential Tour of Turkey,destination point,istanbul (turkey),12,[X] is [REL] based in [Y].
istanbul (turkey),destination point,2017 Presidential Tour of Turkey,22,[X] saw the [REL] to [Y].
2001 la flèche wallonne,destination point,"hu, belgium",12,[X] is [REL] based in [Y].
"hu, belgium",destination point,2001 la flèche wallonne,22,[X] saw the [REL] to [Y].
1994 Lake Constance Cessna 425 crash,destination point,Airport St. Gallen-Altenrhein,12,[X] is [REL] based in [Y].
Airport St. Gallen-Altenrhein,destination point,1994 Lake Constance Cessna 425 crash,22,[X] saw the [REL] to [Y].
rosetta space probe,destination point,67p,12,[X] is [REL] based in [Y].
67p,destination point,rosetta space probe,22,[X] saw the [REL] to [Y].
7th Street Trafficway Bridge,crosses,Kansas River (United States),12,[X] is [REL] based in [Y].
Kansas River (United States),crosses,7th Street Trafficway Bridge,13,[X] geographically has [REL] [Y].
anping bridge,crosses,Ch'ang Chiang,12,[X] is [REL] based in [Y].
Ch'ang Chiang,crosses,anping bridge,13,[X] geographically has [REL] [Y].
Most Košická,crosses,danube river,12,[X] is [REL] based in [Y].
danube river,crosses,Most Košická,13,[X] geographically has [REL] [Y].
arrábida bridge,crosses,douro river,12,[X] is [REL] based in [Y].
douro river,crosses,arrábida bridge,13,[X] geographically has [REL] [Y].
"St. Francis River Bridge (Madison, Arkansas)",crosses,Saint Francis River (United States),12,[X] is [REL] based in [Y].
Saint Francis River (United States),crosses,"St. Francis River Bridge (Madison, Arkansas)",13,[X] geographically has [REL] [Y].
ramstore bridge,crosses,ishim river (russia and kazakhstan),12,[X] is [REL] based in [Y].
ishim river (russia and kazakhstan),crosses,ramstore bridge,13,[X] geographically has [REL] [Y].
Kittanning Citizens Bridge,crosses,Allegheny river,12,[X] is [REL] based in [Y].
Allegheny river,crosses,Kittanning Citizens Bridge,13,[X] geographically has [REL] [Y].
zirmunai bridge,crosses,vilija,12,[X] is [REL] based in [Y].
vilija,crosses,zirmunai bridge,13,[X] geographically has [REL] [Y].
taksin bridge,crosses,Bangkok River,12,[X] is [REL] based in [Y].
Bangkok River,crosses,taksin bridge,13,[X] geographically has [REL] [Y].
"queen elizabeth ii bridge, newcastle upon tyne",crosses,Tyne,12,[X] is [REL] based in [Y].
Tyne,crosses,"queen elizabeth ii bridge, newcastle upon tyne",13,[X] geographically has [REL] [Y].
Wabash Avenue Viaduct,crosses,chicago river (united states),12,[X] is [REL] based in [Y].
chicago river (united states),crosses,Wabash Avenue Viaduct,13,[X] geographically has [REL] [Y].
singing bridge (united states),crosses,middle fork kentucky river,12,[X] is [REL] based in [Y].
middle fork kentucky river,crosses,singing bridge (united states),13,[X] geographically has [REL] [Y].
Caversham Bridge,crosses,thames,12,[X] is [REL] based in [Y].
thames,crosses,Caversham Bridge,13,[X] geographically has [REL] [Y].
University Bridge (St. Cloud),crosses,río misisipi,12,[X] is [REL] based in [Y].
río misisipi,crosses,University Bridge (St. Cloud),13,[X] geographically has [REL] [Y].
bavsaraghat bridge,crosses,subarnarekha river,12,[X] is [REL] based in [Y].
subarnarekha river,crosses,bavsaraghat bridge,13,[X] geographically has [REL] [Y].
great river bridge (westfield),crosses,westfield creek wild and scenic river,12,[X] is [REL] based in [Y].
westfield creek wild and scenic river,crosses,great river bridge (westfield),13,[X] geographically has [REL] [Y].
Turkish Albums Chart,language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,Turkish Albums Chart,0,[X] has [REL] as [Y].
işık university,language used,Number of words in English,1,[X] is [REL] of [Y].
Number of words in English,language used,işık university,0,[X] has [REL] as [Y].
Zirve University,language used,Number of words in English,1,[X] is [REL] of [Y].
Number of words in English,language used,Zirve University,0,[X] has [REL] as [Y].
cartoon network (russia and southeastern europe),language used,български,1,[X] is [REL] of [Y].
български,language used,cartoon network (russia and southeastern europe),0,[X] has [REL] as [Y].
leland stanford jr. university,language used,Number of words in English,1,[X] is [REL] of [Y].
Number of words in English,language used,leland stanford jr. university,0,[X] has [REL] as [Y].
Adnan Menderes Üniversitesi,language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,Adnan Menderes Üniversitesi,0,[X] has [REL] as [Y].
French Civil Aviation University,language used,french vocabulary,1,[X] is [REL] of [Y].
french vocabulary,language used,French Civil Aviation University,0,[X] has [REL] as [Y].
"st. john's cathedral, hong kong",language used,mandarin (dialect),1,[X] is [REL] of [Y].
mandarin (dialect),language used,"st. john's cathedral, hong kong",0,[X] has [REL] as [Y].
Radyo 5,language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,Radyo 5,0,[X] has [REL] as [Y].
"San Narciso, Zambales",language used,Ilokan language,1,[X] is [REL] of [Y].
Ilokan language,language used,"San Narciso, Zambales",0,[X] has [REL] as [Y].
Kiev/Kyiv,language used,ukranian language,1,[X] is [REL] of [Y].
ukranian language,language used,Kiev/Kyiv,0,[X] has [REL] as [Y].
cnn turk (turkey),language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,cnn turk (turkey),0,[X] has [REL] as [Y].
cartoon network (turkey),language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,cartoon network (turkey),0,[X] has [REL] as [Y].
erzurum university,language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,erzurum university,0,[X] has [REL] as [Y].
university of minnesota human rights center,language used,Number of words in English,1,[X] is [REL] of [Y].
Number of words in English,language used,university of minnesota human rights center,0,[X] has [REL] as [Y].
mus alparslan university,language used,turcophone,1,[X] is [REL] of [Y].
turcophone,language used,mus alparslan university,0,[X] has [REL] as [Y].
musculus semimemranosus,muscle origin,Tuberosities of ischium,0,[X] has [REL] as [Y].
Tuberosities of ischium,muscle origin,musculus semimemranosus,1,[X] is [REL] of [Y].
Iliopsoas muscle,muscle origin,spine (human anatomy),0,[X] has [REL] as [Y].
spine (human anatomy),muscle origin,Iliopsoas muscle,1,[X] is [REL] of [Y].
lateral supracondylar line of femur,muscle origin,vastus externus muscle,0,[X] has [REL] as [Y].
vastus externus muscle,muscle origin,lateral supracondylar line of femur,1,[X] is [REL] of [Y].
rhomboid muscle,muscle origin,Nuchal ligament,0,[X] has [REL] as [Y].
Nuchal ligament,muscle origin,rhomboid muscle,1,[X] is [REL] of [Y].
Orbiculan's oculi,muscle origin,medial canthal tendon,0,[X] has [REL] as [Y].
medial canthal tendon,muscle origin,Orbiculan's oculi,1,[X] is [REL] of [Y].
Quadratus_lumborum_muscle,muscle origin,iliolumbar ligaments,0,[X] has [REL] as [Y].
iliolumbar ligaments,muscle origin,Quadratus_lumborum_muscle,1,[X] is [REL] of [Y].
Musculi infrahyoidei,muscle origin,Linea obliqua cartilaginis thyrodis,0,[X] has [REL] as [Y].
Linea obliqua cartilaginis thyrodis,muscle origin,Musculi infrahyoidei,1,[X] is [REL] of [Y].
Musculi infrahyoidei,muscle origin,Ossification of sternum bone,0,[X] has [REL] as [Y].
Ossification of sternum bone,muscle origin,Musculi infrahyoidei,1,[X] is [REL] of [Y].
lateral supracondylar line of femur,muscle origin,musculus gastrocnemius,0,[X] has [REL] as [Y].
musculus gastrocnemius,muscle origin,lateral supracondylar line of femur,1,[X] is [REL] of [Y].
Orbiculan's oculi,muscle origin,os lacrimale,0,[X] has [REL] as [Y].
os lacrimale,muscle origin,Orbiculan's oculi,1,[X] is [REL] of [Y].
Musculus cremaster,muscle origin,colles' ligament,0,[X] has [REL] as [Y].
colles' ligament,muscle origin,Musculus cremaster,1,[X] is [REL] of [Y].
sternocleidomastoid muscle,muscle origin,Tuberculum conoideum,0,[X] has [REL] as [Y].
Tuberculum conoideum,muscle origin,sternocleidomastoid muscle,1,[X] is [REL] of [Y].
Musculi infrahyoidei,muscle origin,ossification of the scapula bones,0,[X] has [REL] as [Y].
ossification of the scapula bones,muscle origin,Musculi infrahyoidei,1,[X] is [REL] of [Y].
Quadratus_lumborum_muscle,muscle origin,Illiac crest,0,[X] has [REL] as [Y].
Illiac crest,muscle origin,Quadratus_lumborum_muscle,1,[X] is [REL] of [Y].
internal oblique muscle,muscle origin,Lumbodorsal fascia,0,[X] has [REL] as [Y].
Lumbodorsal fascia,muscle origin,internal oblique muscle,1,[X] is [REL] of [Y].
Tensor tympani,muscle origin,pars ossea tubae auditivae,0,[X] has [REL] as [Y].
pars ossea tubae auditivae,muscle origin,Tensor tympani,1,[X] is [REL] of [Y].
topografov virus,taxon synonym,khabarovsk virus,1,[X] is [REL] of [Y].
khabarovsk virus,taxon synonym,topografov virus,1,[X] is [REL] of [Y].
Lesser Galago,taxon synonym,Notamacropus,1,[X] is [REL] of [Y].
Notamacropus,taxon synonym,Lesser Galago,1,[X] is [REL] of [Y].
Passifloraceae,taxon synonym,Turneraceae,1,[X] is [REL] of [Y].
Turneraceae,taxon synonym,Passifloraceae,1,[X] is [REL] of [Y].
Caprifoliaceae,taxon synonym,Morinaceae,1,[X] is [REL] of [Y].
Morinaceae,taxon synonym,Caprifoliaceae,1,[X] is [REL] of [Y].
balbisia,taxon synonym,Vivianiaceae,1,[X] is [REL] of [Y].
Vivianiaceae,taxon synonym,balbisia,1,[X] is [REL] of [Y].
Notamacropus,taxon synonym,Lesser Galago,1,[X] is [REL] of [Y].
Lesser Galago,taxon synonym,Notamacropus,1,[X] is [REL] of [Y].
encephalartoideae,taxon synonym,Stangeriaceae,1,[X] is [REL] of [Y].
Stangeriaceae,taxon synonym,encephalartoideae,1,[X] is [REL] of [Y].
cylindera arenaria,taxon synonym,cicindela arenaria,1,[X] is [REL] of [Y].
cicindela arenaria,taxon synonym,cylindera arenaria,1,[X] is [REL] of [Y].
Wild yak,taxon synonym,bos gruniens,1,[X] is [REL] of [Y].
bos gruniens,taxon synonym,Wild yak,1,[X] is [REL] of [Y].
balbisia,taxon synonym,Ledocarpaceae,1,[X] is [REL] of [Y].
Ledocarpaceae,taxon synonym,balbisia,1,[X] is [REL] of [Y].
Lucky bamboo,taxon synonym,ribbon dracaena,1,[X] is [REL] of [Y].
ribbon dracaena,taxon synonym,Lucky bamboo,1,[X] is [REL] of [Y].
melianthaceae,taxon synonym,balbisia,1,[X] is [REL] of [Y].
balbisia,taxon synonym,melianthaceae,1,[X] is [REL] of [Y].
diplacodes luminans,taxon synonym,philonomon luminans,1,[X] is [REL] of [Y].
philonomon luminans,taxon synonym,diplacodes luminans,1,[X] is [REL] of [Y].
handroanthus lapacho,taxon synonym,tabebuia lapacho,1,[X] is [REL] of [Y].
tabebuia lapacho,taxon synonym,handroanthus lapacho,1,[X] is [REL] of [Y].
Primulaceae,taxon synonym,Theophrastaceae,1,[X] is [REL] of [Y].
Theophrastaceae,taxon synonym,Primulaceae,1,[X] is [REL] of [Y].
smotherweed,taxon synonym,Kochia,1,[X] is [REL] of [Y].
Kochia,taxon synonym,smotherweed,1,[X] is [REL] of [Y].
metallourg magnitogorsk,captain,sergey mozyakin,0,[X] has [REL] as [Y].
sergey mozyakin,captain,metallourg magnitogorsk,1,[X] is [REL] of [Y].
2000-01 chicago blackhawks season,captain,Tony Amonte,0,[X] has [REL] as [Y].
Tony Amonte,captain,2000-01 chicago blackhawks season,1,[X] is [REL] of [Y].
tampereen ilves,captain,Sami Sandell,0,[X] has [REL] as [Y].
Sami Sandell,captain,tampereen ilves,1,[X] is [REL] of [Y].
Vega (ship),captain,Adolf Arnold Louis Palander,0,[X] has [REL] as [Y].
Adolf Arnold Louis Palander,captain,Vega (ship),1,[X] is [REL] of [Y].
Montreal Canadians,captain,Jambe Élivo,0,[X] has [REL] as [Y].
Jambe Élivo,captain,Montreal Canadians,1,[X] is [REL] of [Y].
hc stadion liberec,captain,Branko Radivojevic,0,[X] has [REL] as [Y].
Branko Radivojevic,captain,hc stadion liberec,1,[X] is [REL] of [Y].
poland soccer,captain,Robert Lewandowski,0,[X] has [REL] as [Y].
Robert Lewandowski,captain,poland soccer,1,[X] is [REL] of [Y].
Scott Kim (Northern Mariana Island footballer),captain,Johann T. Noetzel,0,[X] has [REL] as [Y].
Johann T. Noetzel,captain,Scott Kim (Northern Mariana Island footballer),1,[X] is [REL] of [Y].
HC Lev Poprad,captain,Lubos Bartecko,0,[X] has [REL] as [Y].
Lubos Bartecko,captain,HC Lev Poprad,1,[X] is [REL] of [Y].
head coaches of the london knights,captain,scott harrington (ice hockey),0,[X] has [REL] as [Y].
scott harrington (ice hockey),captain,head coaches of the london knights,1,[X] is [REL] of [Y].
Kootenay Ice,captain,samson reinhart,0,[X] has [REL] as [Y].
samson reinhart,captain,Kootenay Ice,1,[X] is [REL] of [Y].
1908 british lions tour to new zealand and australia,captain,Arthur Flowers Harding,0,[X] has [REL] as [Y].
Arthur Flowers Harding,captain,1908 british lions tour to new zealand and australia,1,[X] is [REL] of [Y].
Germany national under-21 football team,captain,leon goretzka,0,[X] has [REL] as [Y].
leon goretzka,captain,Germany national under-21 football team,1,[X] is [REL] of [Y].
West Germany National Football Team,captain,Schweinsteiger,0,[X] has [REL] as [Y].
Schweinsteiger,captain,West Germany National Football Team,1,[X] is [REL] of [Y].
1980 British Lions tour to South Africa,captain,Bill Beaumont,0,[X] has [REL] as [Y].
Bill Beaumont,captain,1980 British Lions tour to South Africa,1,[X] is [REL] of [Y].
HC Plzeň 1929,captain,ondřej kratěna,0,[X] has [REL] as [Y].
ondřej kratěna,captain,HC Plzeň 1929,1,[X] is [REL] of [Y].
olenellus fowleri,temporal range end,toyonian,9,[X] witness [REL] happening of [Y].
toyonian,temporal range end,olenellus fowleri,8,[X] happens [REL] in [Y].
Elvisaurus,temporal range end,sinemurian,9,[X] witness [REL] happening of [Y].
sinemurian,temporal range end,Elvisaurus,8,[X] happens [REL] in [Y].
Bajo de la carpa formation,temporal range end,santonian stage,9,[X] witness [REL] happening of [Y].
santonian stage,temporal range end,Bajo de la carpa formation,8,[X] happens [REL] in [Y].
taoudeni basin,temporal range end,carboniferous,9,[X] witness [REL] happening of [Y].
carboniferous,temporal range end,taoudeni basin,8,[X] happens [REL] in [Y].
Shinumo Quartzite,temporal range end,stennian,9,[X] witness [REL] happening of [Y].
stennian,temporal range end,Shinumo Quartzite,8,[X] happens [REL] in [Y].
sturtian glaciation,temporal range end,Cryogenian period,9,[X] witness [REL] happening of [Y].
Cryogenian period,temporal range end,sturtian glaciation,8,[X] happens [REL] in [Y].
Marginal sutures,temporal range end,changhsingian,9,[X] witness [REL] happening of [Y].
changhsingian,temporal range end,Marginal sutures,8,[X] happens [REL] in [Y].
Gosau Formation,temporal range end,ypresian,9,[X] witness [REL] happening of [Y].
ypresian,temporal range end,Gosau Formation,8,[X] happens [REL] in [Y].
Pedetid,temporal range end,Current status,9,[X] witness [REL] happening of [Y].
Current status,temporal range end,Pedetid,8,[X] happens [REL] in [Y].
mureropodia apae,temporal range end,toyonian,9,[X] witness [REL] happening of [Y].
toyonian,temporal range end,mureropodia apae,8,[X] happens [REL] in [Y].
ammonoidea,temporal range end,Maestrichtian,9,[X] witness [REL] happening of [Y].
Maestrichtian,temporal range end,ammonoidea,8,[X] happens [REL] in [Y].
Orycteropus abundulafus,temporal range end,Pliocene Era,9,[X] witness [REL] happening of [Y].
Pliocene Era,temporal range end,Orycteropus abundulafus,8,[X] happens [REL] in [Y].
adelphailurus,temporal range end,miocene epoch,9,[X] witness [REL] happening of [Y].
miocene epoch,temporal range end,adelphailurus,8,[X] happens [REL] in [Y].
Carstone Formation,temporal range end,Albian age,9,[X] witness [REL] happening of [Y].
Albian age,temporal range end,Carstone Formation,8,[X] happens [REL] in [Y].
crag group,temporal range end,Pleistocene Series,9,[X] witness [REL] happening of [Y].
Pleistocene Series,temporal range end,crag group,8,[X] happens [REL] in [Y].
paleotragus,temporal range end,Pliocene Era,9,[X] witness [REL] happening of [Y].
Pliocene Era,temporal range end,paleotragus,8,[X] happens [REL] in [Y].
mercedes jijon,honorific suffix,First Lady of Ecuador,15,[X] [REL] [Y].
First Lady of Ecuador,honorific suffix,mercedes jijon,27,[X] with [REL] generated from [Y].
i. a. kapodistrias,honorific suffix,Her Excellency,15,[X] [REL] [Y].
Her Excellency,honorific suffix,i. a. kapodistrias,27,[X] with [REL] generated from [Y].
T. Carleton Allen,honorific suffix,d. c. l.,15,[X] [REL] [Y].
d. c. l.,honorific suffix,T. Carleton Allen,27,[X] with [REL] generated from [Y].
Professor Abraham Van Helsing,honorific suffix,D. Lit.,15,[X] [REL] [Y].
D. Lit.,honorific suffix,Professor Abraham Van Helsing,27,[X] with [REL] generated from [Y].
walter arbuthnot prideaux,honorific suffix,priest (christianity),15,[X] [REL] [Y].
priest (christianity),honorific suffix,walter arbuthnot prideaux,27,[X] with [REL] generated from [Y].
T. Carleton Allen,honorific suffix,Bum freezer,15,[X] [REL] [Y].
Bum freezer,honorific suffix,T. Carleton Allen,27,[X] with [REL] generated from [Y].
Professor Abraham Van Helsing,honorific suffix,md degree,15,[X] [REL] [Y].
md degree,honorific suffix,Professor Abraham Van Helsing,27,[X] with [REL] generated from [Y].
carmen santistevan de robles,honorific suffix,First Lady of Ecuador,15,[X] [REL] [Y].
First Lady of Ecuador,honorific suffix,carmen santistevan de robles,27,[X] with [REL] generated from [Y].
Virginia Argueta,honorific suffix,Miss Guatemala,15,[X] [REL] [Y].
Miss Guatemala,honorific suffix,Virginia Argueta,27,[X] with [REL] generated from [Y].
sir john pakington (1549-1625),honorific suffix,clergy holding knighthoods,15,[X] [REL] [Y].
clergy holding knighthoods,honorific suffix,sir john pakington (1549-1625),27,[X] with [REL] generated from [Y].
Moussolini,honorific suffix,Duce of the Republican Fascist Party,15,[X] [REL] [Y].
Duce of the Republican Fascist Party,honorific suffix,Moussolini,27,[X] with [REL] generated from [Y].
Professor Abraham Van Helsing,honorific suffix,dphil,15,[X] [REL] [Y].
dphil,honorific suffix,Professor Abraham Van Helsing,27,[X] with [REL] generated from [Y].
Jiménez de Rada,honorific suffix,primacy of spain,15,[X] [REL] [Y].
primacy of spain,honorific suffix,Jiménez de Rada,27,[X] with [REL] generated from [Y].
maria cristina villanova,honorific suffix,Her Excellency,15,[X] [REL] [Y].
Her Excellency,honorific suffix,maria cristina villanova,27,[X] with [REL] generated from [Y].
benjamin bawa,honorific suffix,Bum freezer,15,[X] [REL] [Y].
Bum freezer,honorific suffix,benjamin bawa,27,[X] with [REL] generated from [Y].
Vladimir Mikhailovich Lobashev,contributing factor of,Muon-to-electron conversion experiment,0,[X] has [REL] as [Y].
Muon-to-electron conversion experiment,contributing factor of,Vladimir Mikhailovich Lobashev,1,[X] is [REL] of [Y].
chekhov's law,contributing factor of,dramatic arts,0,[X] has [REL] as [Y].
dramatic arts,contributing factor of,chekhov's law,1,[X] is [REL] of [Y].
Necrotising angiitis,contributing factor of,GO:0008219,0,[X] has [REL] as [Y].
GO:0008219,contributing factor of,Necrotising angiitis,1,[X] is [REL] of [Y].
"twelve theses ""against the un-german spirit""",contributing factor of,Nazi book-burning,0,[X] has [REL] as [Y].
Nazi book-burning,contributing factor of,"twelve theses ""against the un-german spirit""",1,[X] is [REL] of [Y].
nonhygroscopic,contributing factor of,Desicate,0,[X] has [REL] as [Y].
Desicate,contributing factor of,nonhygroscopic,1,[X] is [REL] of [Y].
humbug billy,contributing factor of,Pharmacy Act 1868,0,[X] has [REL] as [Y].
Pharmacy Act 1868,contributing factor of,humbug billy,1,[X] is [REL] of [Y].
dogs with jobs,contributing factor of,animals at work,0,[X] has [REL] as [Y].
animals at work,contributing factor of,dogs with jobs,1,[X] is [REL] of [Y].
ground path,contributing factor of,acquisition of signal,0,[X] has [REL] as [Y].
acquisition of signal,contributing factor of,ground path,1,[X] is [REL] of [Y].
neap tides,contributing factor of,bore tide,0,[X] has [REL] as [Y].
bore tide,contributing factor of,neap tides,1,[X] is [REL] of [Y].
battle of gaza (312 bc),contributing factor of,history of jews,0,[X] has [REL] as [Y].
history of jews,contributing factor of,battle of gaza (312 bc),1,[X] is [REL] of [Y].
Anglo-German naval arms race,contributing factor of,WwI,0,[X] has [REL] as [Y].
WwI,contributing factor of,Anglo-German naval arms race,1,[X] is [REL] of [Y].
the black plague,contributing factor of,tudor vowel shift,0,[X] has [REL] as [Y].
tudor vowel shift,contributing factor of,the black plague,1,[X] is [REL] of [Y].
solar aspect angle,contributing factor of,Solar energy storage,0,[X] has [REL] as [Y].
Solar energy storage,contributing factor of,solar aspect angle,1,[X] is [REL] of [Y].
rough ride (police practice),contributing factor of,Fredericka Gray,0,[X] has [REL] as [Y].
Fredericka Gray,contributing factor of,rough ride (police practice),1,[X] is [REL] of [Y].
first war of the diadochi,contributing factor of,history of jews,0,[X] has [REL] as [Y].
history of jews,contributing factor of,first war of the diadochi,1,[X] is [REL] of [Y].
feul,contributing factor of,uncontrolled fire,0,[X] has [REL] as [Y].
uncontrolled fire,contributing factor of,feul,1,[X] is [REL] of [Y].
1-Propyne,phase of matter,gaseous,0,[X] has [REL] as [Y].
gaseous,phase of matter,1-Propyne,1,[X] is [REL] of [Y].
ethyne,phase of matter,gaseous,0,[X] has [REL] as [Y].
gaseous,phase of matter,ethyne,1,[X] is [REL] of [Y].
duodecane,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,duodecane,1,[X] is [REL] of [Y].
Ammonia as a fuel,phase of matter,gaseous,0,[X] has [REL] as [Y].
gaseous,phase of matter,Ammonia as a fuel,1,[X] is [REL] of [Y].
acrylic acids,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,acrylic acids,1,[X] is [REL] of [Y].
Aminic acid,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Aminic acid,1,[X] is [REL] of [Y].
Dihydrogen sulphate,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Dihydrogen sulphate,1,[X] is [REL] of [Y].
ecstasy abuse,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,ecstasy abuse,1,[X] is [REL] of [Y].
tetradecane,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,tetradecane,1,[X] is [REL] of [Y].
Sec-Amyl acetate,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Sec-Amyl acetate,1,[X] is [REL] of [Y].
"trans-3,7-dimethyl-2,6-octadien-1-ol",phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,"trans-3,7-dimethyl-2,6-octadien-1-ol",1,[X] is [REL] of [Y].
Azoimide,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Azoimide,1,[X] is [REL] of [Y].
Paratartaric acid,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Paratartaric acid,1,[X] is [REL] of [Y].
Bicarburet of hydrogen,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Bicarburet of hydrogen,1,[X] is [REL] of [Y].
"allyl 2,3 - epoxypropyl ether",phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,"allyl 2,3 - epoxypropyl ether",1,[X] is [REL] of [Y].
Ethane dichloride,phase of matter,Liquid level,0,[X] has [REL] as [Y].
Liquid level,phase of matter,Ethane dichloride,1,[X] is [REL] of [Y].
"yerres, france",charted in,communes in france,1,[X] is [REL] of [Y].
communes in france,charted in,"yerres, france",0,[X] has [REL] as [Y].
space oddity (song),charted in,the canadian hot 100,1,[X] is [REL] of [Y].
the canadian hot 100,charted in,space oddity (song),0,[X] has [REL] as [Y].
